"prod_id","name","price","mini-desc","categories","desc","img","img1","img2","img3"
"2289","REKORD Braunkohlebriketts (25 kg)","499,00€","Produkt-Highlights: Heizwert : 19 MJ/kg Asche : 4,5 % Anwendung : Heizen Einzelpack : 25 kg","KAMINBRIKETTS","Heizwert : 19 MJ/kg Asche : 4,5 % Anwendung : Heizen Anwendungsbereich : Kaminofen, Kachelofen, Festbrennstoffkessel Menge : 40 Bündel à 25 kg Einzelgebinde : 25 kg à 44 Steine Versandgewicht : 1070 kg Größe : 1200 mm x 800 mm x 1060 mm","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-40-x-25-kg-11-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-40-x-25-kg-13-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-40-x-25-kg-14-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-40-x-25-kg-15-150x150.jpg"
"2297","REKORD Braunkohlebriketts als Palette Folie (90 x 10 kg)","499,00€","Produkt-Highlights: Heizwert : 19 MJ/kg Asche : 4,5 % Anwendung : Heizen Menge : 90 Pakete à 10 kg Einzelpack : 10 kg à 18 Steine","KAMINBRIKETTS","Heizwert : 19 MJ/kg Asche : 4,5 % Anwendung : Heizen Anwendungsbereich : Kaminofen, Kachelofen, Festbrennstoffkessel Menge : 90 Pakete à 10 kg Einzelpack : 10 kg à 18 Steine Versandgewicht : 965 kg Größe : 1200 mm x 800 mm x 1250 mm","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-Folie-90-x-10-kg-11-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-Folie-90-x-10-kg-12-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-Folie-90-x-10-kg-13-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-als-Palette-Folie-90-x-10-kg-14-150x150.jpg"
"2304","REKORD Braunkohlebriketts Palette Tüte (90 x 10 kg)","499,00€","Produkt-Highlights: Heizwert : 19 MJ/kg Asche : 4,5 % Anwendung : Heizen Menge : 90 Pakete à 10 kg Einzelpack : 10 kg à 18 Steine","KAMINBRIKETTS","Heizwert : 19 MJ/kg Asche : 4,5 % Anwendung : Heizen Anwendungsbereich : Kaminofen, Kachelofen, Festbrennstoffkessel Menge : 90 Pakete à 10 kg Einzelpack : 10 kg à 18 Steine Versandgewicht : 965 kg Größe : 1200 mm x 800 mm x 1270 mm","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-Palette-Tuete-90-x-10-kg-11-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-Palette-Tuete-90-x-10-kg-12-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-Palette-Tuete-90-x-10-kg-13-150x150.jpg","https://www.holzelektro.com/wp-content/uploads/2022/07/REKORD-Braunkohlebriketts-Palette-Tuete-90-x-10-kg-14-150x150.jpg"
